"date" "year" "site" "Lat" "Long" "transect" "P_miniata" "P_brevispinus" "P_ochraceus" "H_rufescens" "M_franciscanus" "S_purpuratus" "N_luetkana_juv" "N_luetkana_adult" "S_osmundacea" "P_californica" "E_menziesii" "L_farlowii" "L_setchelli" "A_marginata" "C_costata" "D_californicum" "Desmerestia" "perc_sand" "mean_relief" "perc_rock" "total_discharge_cfs" "distance_to_freshwater_m" "kelp_persistence_years_100m" "kelp_persistence_years_100m_5." "kelp_cover_100" "kelp_persistence_years_500m" "kelp_persistence_years_500m_5." "kelp_cover_500" "N_luetkana"
"2" "9/14/2020" "2020" "Navarro River" 39.18 -123.754 1 0 0 19 0 0 0 5 21 0 19 0 10 23 29 0 0 12 3.333333333 1.433333333 53.33333333 59.406402098061 718 2 2 0.08 5 4 0.08 26
"3" "9/14/2020" "2020" "Navarro River" 39.18 -123.754 2 0 0 103 0 0 0 1 44 0 8 0 13 0 1 0 0 0 36.66666667 1.4 66.66666667 59.406402098061 718 2 2 0.08 5 4 0.08 45
"4" "9/17/2020" "2020" "Shell Beach" 38.72461 -123.47869 1 1 1 1 3 0 100 3 25 0 33 3 3 19 0 0 1 5 6.666666667 1 33.33333333 0 6900.11 4 4 0.03 5 4 0.39 28
"5" "9/17/2020" "2020" "Shell Beach" 38.72461 -123.47869 2 0 0 7 1 11 400 1 2 0 35 0 2 15 3 0 1 6 50 0.833333333 66.66666667 0 6900.11 4 4 0.18 5 4 0.45 3
"6" "9/17/2020" "2020" "Pebble Beach" 38.699036 -123.441299 1 6 0 3 6 7 3760 0 0 0 0 0 15 27 3 0 116 12 0 2.3 0 0 6577.74 1 1 0 5 2 0 0
"7" "9/18/2020" "2020" "Big River" 39.297 -123.796 1 0 0 2 3 12 133 0 77 0 14 3 29 0 10 0 1 24 16.66666667 1 0 39.832159293261 599.53568 5 5 0.33 5 5 0.13 77
"8" "9/18/2020" "2020" "Big River" 39.297 -123.796 2 2 0 2 35 13 10 0 33 0 52 1 5 0 2 0 1 10 16.66666667 0.866666667 20 39.832159293261 599.53568 5 5 0.33 5 5 0.13 33
"9" "9/21/2020" "2020" "Noyo Bay" 39.427 -123.81 1 0 0 0 5 0 0 0 175 0 47 0 7 0 1 0 0 16 40 0.666666667 46.66666667 25.050344359821 53.778 4 4 0.03 5 5 0.02 175
"10" "9/21/2020" "2020" "Noyo Bay" 39.427 -123.81 2 0 0 0 10 0 0 0 55 0 90 0 6 0 0 0 0 10 20 0.933333333 26.66666667 25.050344359821 53.778 4 3 0.04 5 5 0.02 55
"11" "9/30/2020" "2020" "Van Damme" 39.268 -123.788 1 0 0 0 52 0 0 0 0 0 17 0 0 0 0 1 0 2 76.66666667 0.533333333 86.66666667 1.202037370461 300 3 3 0 4 3 0 0
